Callsign,Relay of,Frequency,City,S/P,Country,Format,Slogan,ID,ERP-H,ERP-V,HAAT-H,HAAT-V,Lat-N,Long-W,Lang,Mode,PI Code,PS Info,Radiotext,PTY,Remarks
W245DB,WBPZ-1230,96.9,LOCK HAVEN,PA,USA,OLDIES,AM 1230/FM 96.9 FM,200523,0.25,0.25,-64,0,41-08-03,77-28-09,,,58EB,,,,
K245CU,KDLM-1340,96.9,DETROIT LAKES,MN,USA,CLASSIC HITS,KDLM-AM 1340 AM - 93.1 FM - 96.9 FM,200116,0.25,0.25,0,0,46-43-19,95-50-38,,,,,,,
K245CV,KDYN-1540,96.9,OZARK,AR,USA,COUNTRY,TRUE COUNTRY,200300,0.25,0.25,0,0,35-29-09,93-53-30,,,,,,,
K245CW,KNEA-970,96.9,JONESBORO,AR,USA,SPORTS,95.3 THE TICKET,200191,0.25,0.25,330,0,35-57-14,90-41-41,,,,,,,
K245CX,KROC-1340,96.9,ROCHESTER,MN,USA,TALK,NEWS TALK 1340,201092,0.25,0.25,19,0,44-01-08,92-27-56,,,3D18,,,News,
W245DC,WPFJ-1480,96.9,SYLVA,NC,USA,CONTEMPORARY CHRISTIAN,HIS RADIO,201626,0.145,0.145,0,0,35-19-38,83-20-09,,,,,,,
W245DE,WZRK-810,96.9,DODGEVILLE,WI,USA,ROCK,96.9 Z ROCK,200833,0.25,0.25,0,0,42-55-10,90-08-06,,,,,,,
K245CY,KWHW-1450,96.9,ALTUS,OK,USA,COUNTRY,THE LEGEND,201175,0.25,0.25,96,0,34-37-35,99-20-10,,,,,,,
W245DF,WMFJ-1450,96.9,SMYRNA BEACH,FL,USA,CONTEMPORARY CHRISTIAN/RELIGIOUS TEACHING,THE CORNERSTONE,203011,0.25,0.25,0,0,29-00-31,80-58-28,,,NONE,1450WMFJ,,Religious Talk,
W245DG,WLAQ-1410,96.9,ROME,GA,USA,TALK,WLAQ AM 1410 AND FM 96.9,202054,0.25,0.25,0,0,34-14-08,85-13-43,,,,,,,
K245DB,KSLD-1140,96.9,SOLDOTNA,AK,USA,SPORTS,ESPN 1140 & 96.9 FM,202191,0.25,0.25,0,0,60-30-52,151-11-33,,,,,,,
K245DA,WNAX-570,96.9,YANKTON,SD,USA,NEWS/TALK,WNAX RADIO 570,202251,0.25,0.25,0,0,42-54-46,97-18-58,,,,,,,
K245DD,KZSB-1290,96.9,SANTA BARBARA,CA,USA,TALK,NEWS PRESS RADIO 1290 AM,202781,0.25,0.25,0,0,34-27-58,119-40-37,,,,,,,
W245DK,WELI-960,96.9,NEW HAVEN,CT,USA,TALK,NEWSTALK 960 96.9,202570,0.215,0.215,268,0,41-45-22,72-57-07,,,,,,,
W245DH,WMRI 860,96.9,MARION,IN,USA,SPORTS,ESPN SPORTS 1350,202404,0.25,0.25,0,0,40-33-11,85-38-47,,,,,,,
K245DC,KBZZ-1270,96.9,CARSON CITY,NV,USA,CLASSIC ROCK,THE HOG,202050,0.04,0.04,0,0,39-15-26,119-42-36,,,,,,,None
W245DI,WACK-1420,96.9,SODUS,NY,USA,TALK/SPORTS,HOMETOWN RADIO,202421,0.25,0.25,106,0,43-08-54,77-04-09,,,,,,,
W245DM,WTWG-1050,96.9,COLUMBUS,MS,USA,TALK,,202974,0.25,0.25,63,0,33-30-37,88-24-46,,,,,,,
K245DG,KSID-FM 98.7,96.9,STERLING,CO,USA,COUNTRY,98.7 THE BIG BOY,148999,0.25,0.25,0,0,40-57-32,102-55-32,,,,,,,
W245DN,WBBT 1340,96.9,LYONS,GA,USA,OLDIES,1340 OLDIES WBBT,202088,0.25,0.25,0,0,32-12-50,82-19-51,,,,,,,
XHPEDX-FM,,96.9,LINARES,NL,MEX,RELIGIOUS,RADIO LA SIEMBRA,801578,6,6,0,0,24-51-36,99-34-00,Spanish,,,,,,
W245DO,WIPC-1280,96.9,LAKE WALES,FL,USA,RELIGIOUS TEACHING,RADIO ESPERANZA 96.9 FM & 1280 AM,202412,0.25,0.25,64,0,27-54-57,81-34-56,Spanish,,6B50,,,,
K245DI,KWIL 790,96.9,ALBANY,OR,USA,RELIGIOUS TEACHING/SOUTHERN GOSPEL,KWIL FOR CHRIST,202171,0.25,0,0,0,44-39-16,123-00-57,,,,,,,
K245DK,KVON-1440,96.9,NAPA,CA,USA,VARIETY,MEGA MIX 1440 / 96.9,202889,0.2,0.2,0,0,38-25-33,122-19-38,Spanish,,,,,,
K245DJ,KSRO 1360,96.9,PETALUMA,CA,USA,NEWS/TALK,KSRO NEWSTALK 1350 AM,202646,0.03,0.075,0,0,38-19-57,122-35-45,,,,,,,
ZIHP-FM,,96.9,PROVIDENCIALES - GRAND TURK,TC,TCA,RELIGIOUS,HOUSE ON THE ROCK MINISTRIES,940027,0.921,0.921,30,30,21-26-55,71-08-35,,,,,,,
NEW,,96.9,GRAND MARAIS,MN,USA,,,762480,25.5,25.5,210,210,47-46-09,90-20-49,,CP-new,,,,,
XHSCCU-FM,,96.9,ÁLVARO OBREGÓN,MICH,MEX,COMMUNITY RADIO,RADIO AGUERRIDA MAYOR,801799,0,0.01,0,-28,19-49-24,0101-02-18,Spanish,,,,,,
NEW,,96.9,UPHAM,NM,USA,,,788388,0.1,0.1,-1434,-1434,32-58-10,106-56-49,,CP-new,,,,,
CFWR-FM,,96.9,WINNEWAY,QC,CAN,ABORIGINAL,LONG POINT FIRST NATION,902547,8.08,8.08,58.7,58.7,47-34-49,78-34-30,,,,,,,
WNHY-LP,,96.9,NEW HOPE,PA,USA,,,787946,0.1,0.1,-3,-3,40-20-54,75-00-00,,,,,,,
WJKM-LP,,96.9,SPRINGFIELD,MA,USA,,,788160,0.1,0.1,1,1,42-05-18,72-33-12,,,,,,,
NEW,,96.9,HIXSON,TN,USA,,,788413,0.1,0.1,13,13,35-12-49,85-14-54,,CP-New,,,,,
NEW,,96.9,MARSHALL,MN,USA,,,788382,0.1,0.1,22,22,44-27-17,95-45-33,,CP-New,,,,,
KWVP-LP,,96.9,LEGRAND,CA,USA,,,786696,0.1,0.1,11,11,37-13-53,120-15-04,,,,,,,
XHSIAV-FM,,96.9,CHAPULHUACÁN,HGO,MEX,COMMUNITY RADIO,,801956,3,3,0,0,21-09-20,98-54-13,Spanish,,,,,,
KKWC-LP,,96.9,SAN DIEGO,CA,USA,,,785879,0.05,0.05,-27,-27,32-39-15,117-06-42,,,,,,,
NEW,,96.9,SAN DIEGO,CA,USA,,,788332,0.05,0.05,8,8,32-39-28,116-59-40,,CP-New,,,,,
NEW,,96.9,SAN DIEGO,CA,USA,,,787937,0.05,0.05,-33,-33,32-39-24,0117-06-19,,CP-New,,,,,
WNKL,,96.9,WAUSEON,OH,USA,CONTEMPORARY CHRISTIAN,K-LOVE,78441,5,5,109,109,41-36-03,83-54-27,,,780B,,,,
W244GA,KGHY 88.5,96.7,LAKE CHARLES,LA,USA,SOUTHERN GOSPEL,THE GOSPEL HIWAY 88.5,147252,0.115,0.115,0,0,30-13-16,93-18-41,,,,,,,
K244AM,KTWV 94.7,96.7,"CHINA LAKE, ETC.",CA,USA,SOFT AC,THE WAVE,28576,0,0.009,398,0,35-28-48,117-40-59,,,,,,,
KXOX-FM,,96.7,SWEETWATER,TX,USA,COUNTRY,"GOOD TIMES, GREAT COUNTRY MUSIC KXOX",63198,2.9,2.9,47,47,32-29-16,100-23-31,,,4E3F,,-,,
K244AO,KSOP-FM 104.,96.7,RANDOLPH-WOODRUFF,UT,USA,COUNTRY,Z104,56114,0.012,0,333,0,41-37-31,0111-07-23,,,,,,,
K244BB,KSFI 100.3,96.7,WEST EMERY COUNTY,UT,USA,SOFT AC,FM 100,19488,0.1,0.1,11,11,39-12-36,0111-08-30,,,,,,,
KCAL-FM1,KCAL-FM 96.7,96.7,"TWIN PEAKS, ETC.",CA,USA,ROCK,96-7 KCAL ROCKS,59273,0.075,0.041,0,0,34-13-50,117-14-00,,,,,,,
K244AH,KMFB 98.5,96.7,UKIAH,CA,USA,ADULT CONTEMPORARY,SKUNK FM,49192,0.01,0.01,0,0,39-06-57,123-14-00,,,,,,,
K244FM,WKTY-580,96.7,LA CROSSE,WI,USA,SPORTS,WKTY SPORTSRADIO,63806,0.25,0.25,0,0,43-48-23,91-22-03,,,,,,,
WKMM,,96.7,KINGWOOD,WV,USA,COUNTRY,K-COUNTRY 96.7,7725,0.55,0.55,241,241,39-27-25,79-35-26,,,,,,,
WQSO,,96.7,ROCHESTER,NH,USA,NEWS/TALK,NEWS RADIO 96.7,53388,3,3,100,100,43-17-14,70-56-49,,HD,18CA - 'KDIO',"NewsRadio 96.7 New Hampshire/s News, Traffic & Weather","NewsRadio 96.7 New Hampshire/s News, Traffic & Weather",Talk,
WLLF,,96.7,MERCER,PA,USA,SPORTS,SPORTS RADIO 96.7,6653,1.4,1.4,148,148,41-18-43,80-16-39,,,72D7,WLLF,,,
K244CU,WJSO 90.1,96.7,JUNEAU,AK,USA,RELIGIOUS TEACHING,MOODY RADIO,8614,0.98,0,0,0,58-21-57,134-37-59,,,,,,,
K244CR,KCIN 94.9,96.7,RURAL GARFIELD COUNT,UT,USA,COUNTRY,BIG KICKIN COUNTRY,23199,0.017,0,759,0,37-45-21,111-52-27,,,,,,,
K244DC,KMGR 99.1,96.7,PANGUITCH,UT,USA,ADULT STANDARDS,CLASSY FM,51444,0.048,0,-156,0,37-49-19,112-27-28,,,,,,,
K244DD,KWUT 97.7,96.7,"ORDERVILLE, ETC.",UT,USA,COUNTRY,97.7 THE WOLF,38357,0.053,0,-96,0,37-16-35,112-37-35,,,,,,,
K244CV,KNKK 107.1,96.7,KINGMAN,AZ,USA,HOT AC,THE KNACK,8384,0,0.15,0,0,35-06-41,113-53-08,,,,,,,
KHFI-FM,,96.7,GEORGETOWN,TX,USA,CONTEMPORARY HIT RADIO,96.7 KISS FM,11948,100,100,290,290,30-19-20,97-48-03,,HD,1306 - 'KBDU',96.7 KISS FM [Title] [Artist],96.7 KISS FM [Title] [Artist],Top 40,
WCIO,,96.7,OSWEGO,NY,USA,CONTEMPORARY CHRISTIAN,FAMILY LIFE NETWORK,5344,3.4,3.4,86,86,43-29-03,76-23-12,,,,,,,
KZRV,,96.7,SARTELL,MN,USA,CLASSIC HITS,THE RIVER,59149,50,50,138,138,45-46-03,94-08-05,,,53D3,REV 96.7,-,Rock,
WMOD,,96.7,BOLIVAR,TN,USA,COUNTRY,REAL COUNTRY,71647,3,3,91,91,35-15-00,88-53-28,,,,,,,
WTSA-FM,,96.7,BRATTLEBORO,VT,USA,ADULT CONTEMPORARY,MAGIC 97,67765,5.2,5.2,41,41,42-53-21,72-36-47,,,88A8,WTSA-FM,WTSA-FM,No Program Type or Undefined,
KCAL-FM,,96.7,REDLANDS,CA,USA,ROCK,96-7 KCAL ROCKS,59272,1.75,1.75,115,115,34-11-51,117-17-10,,,1.55E+03,KCAL Artist/Title,KCAL Artist/Title,,
KLJR-FM1,KLJR-FM 96.7,96.7,VENTURA,CA,USA,ADULT HITS,LA MEJER,35926,0.05,0,0,0,34-17-25,119-17-26,Spanish,,28F3,KJLR,KJLR La Mejor 96.7 mas mas,,
WIKF,,96.7,NORMAL,IL,USA,CONTEMPORARY CHRISTIAN,K-LOVE,4617,3.6,3.6,130,130,40-28-32,89-02-03,,,6A8B,,,,
WJJH,,96.7,ASHLAND,WI,USA,CLASSIC ROCK,REAL ROCK J-96,4074,50,50,75,75,46-34-25,90-51-56,,,4CA0,,,,
K244DL,KZEL-FM 96.1,96.7,COTTAGE GROVE,OR,USA,CLASSIC ROCK,96.1 Z ROCKS,49820,0.25,0,96,0,43-46-38,123-02-33,,,,,,,
K244DP,KCSP 90.3,96.7,LANDER,WY,USA,CONTEMPORARY CHRISTIAN,PILGRIM RADIO,71820,0,0.135,0,134,42-54-24,108-42-19,,,,,,,
KDOG,,96.7,NORTH MANKATO,MN,USA,CONTEMPORARY HIT RADIO,HOT 96.7,42993,4,4,198,198,44-13-20,94-07-03,,,195E,Hot 96-7,,Top 40,
WLXV,,96.7,CADILLAC,MI,USA,ADULT CONTEMPORARY,LITE 96,39539,7.2,7.2,184,184,44-22-51,85-33-24,,,741F,,,No Program Type or Undefined,//96.3 WLXT
KWWW-FM,,96.7,QUINCY,WA,USA,HOT AC,KW-3,59050,0.44,0.44,315,315,47-19-13,119-48-00,,,4C6A,,,Top 40,
WNKX-FM,,96.7,CENTERVILLE,TN,USA,COUNTRY,KIX 96.7,27138,6,6,91,91,35-49-39,87-34-02,,,,,,,
W244AV,WROV-FM-HD2,96.7,"BLACKSBURG, ETC.",VA,USA,NEWS,BIN,37748,0.25,0.25,180,180,37-11-15,80-27-28,,,,,,,
WLTN-FM,,96.7,LISBON,NH,USA,ADULT CONTEMPORARY,MIX 96.7,53636,6,6,90,90,44-13-11,71-52-07,,,,,,,
WVNW,,96.7,BURNHAM,PA,USA,COUNTRY,STAR COUNTRY 96.7 FM,74172,0.45,0.45,259,259,40-35-10,77-41-40,,,8D84,WVNW-FM,,,
WCMJ,,96.7,CAMBRIDGE,OH,USA,ADULT CONTEMPORARY,"TODAY'S BEST MIX, 96 FM",3362,1.35,1.35,48,48,40-02-22,81-38-48,,,5B31,WCMJ,-,,
KMPK,,96.7,MCPHERSON,KS,USA,ADULT CONTEMPORARY,MIX 96.7,15841,6,6,75,75,38-20-30,97-40-12,,,3.14E+03,Title & Artist Mix 96.7 KMPK,Song Title and Artist,Adult Hits,
K244CO,KVOQ 102.3,96.7,WEST GLENWOOD SPRING,CO,USA,ADULT ALTERNATIVE,INDIE 102.3,12375,0.099,0.099,-262,0,39-33-21,107-20-19,,,,,,,
KBEL-FM,,96.7,IDABEL,OK,USA,COUNTRY,"IDABEL`S FIRST, 96.7 FM KBEL",14758,25,25,91,91,33-52-54,94-49-10,,,1.32E+03,,,,// KBEL-1240
KZAP,,96.7,PARADISE,CA,USA,OLDIES,96.7 KZAP,56714,2.45,2.45,317,317,39-56-46,121-43-21,,,,,,,
KAHR,,96.7,POPLAR BLUFF,MO,USA,ADULT HITS,SAM 96.7,18045,6,6,100,100,36-45-59,90-28-52,,,10C7,TITLE ARTIST ON SAM 96 DOT 7 KAHR,BEST OF THE 80'S 90'S & 2000'S!,,
W244AY,WLPG 91.7,96.7,MYRTLE BEACH,SC,USA,RELIGIOUS TEACHING,GOOD NEWS METWORK,3238,0.027,0,73,0,33-40-23,78-54-05,,,7340 - 'WLPG',,,Religious Talk,
KQZZ,,96.7,CRARY,ND,USA,HOT AC,MIX 96.7,56710,38,38,171,171,47-58-49,99-03-11,,,3CE3,THE ROCK,-,,
WPGM-FM,WPGM-1570,96.7,DANVILLE,PA,USA,CONTEMPORARY CHRISTIAN/RELIGIOUS TEACHING,,43659,0.57,0.57,233,233,40-59-16,76-32-51,,,7CEC,WPGM-FM,WPFM-FM 96.7 Your Station for Inspiration and Information,Religious Music,
WWSA-LP,,96.7,ST ALBANS,WV,USA,VARIETY,,194540,0.1,0,-29,0,38-23-13,81-50-18,,,,,,,
WMHH,,96.7,CLIFTON PARK,NY,USA,RELIGIOUS TEACHING,MARS HILL NETWORK,30571,4.7,4.7,100,100,42-52-44,73-51-47,,HD,7.52E+03,WMHH,,,
W244BB,WHPE 95.5,96.7,PRINCETON,WV,USA,RELIGIOUS TEACHING,BIBLE BROADCASTING NETWORK,5086,0.033,0.033,83,0,37-21-42,81-01-47,,,,,,,
KWMX,,96.7,WILLIAMS,AZ,USA,CLASSIC ROCK,96.7 THE WOLF,30433,10.5,10.5,325,325,35-07-52,0112-08-03,,,4B67,Cool Oldies 96.7FM,-,,
WBVI,,96.7,FOSTORIA,OH,USA,CLASSIC HITS,CLASSIC HITS 96.7,67709,3,3,88,88,41-06-00,83-28-32,,,5.98E+03,,,,
KOKR,,96.7,NEWPORT,AR,USA,COUNTRY,RIVER COUNTRY 96.7,48743,40,40,167,167,35-29-16,91-26-13,,,360D,KOKR,-,,
KWMX-FM1,KWMX 96.7,96.7,FLAGSTAFF,AZ,USA,CLASSIC ROCK,96.7 THE WOLF,83067,0.29,0.29,0,0,35-14-29,111-36-32,,,,,,,
W244BE,WFLA-970,96.7,BRANDON,FL,USA,NEWS/TALK,NEWS RADIO,86293,0.087,0.087,315,315,28-10-56,82-46-06,,,,,,,
WMXA,,96.7,OPELIKA,AL,USA,HOT AC,MIX 96.7,22877,6,6,73,73,32-39-26,85-25-27,,,,,,,
W244BF,WMLJ 90.5,96.7,NIMITZ,WV,USA,RELIGIOUS TEACHING,WINNING OTHERS TO JESUS,87068,0.01,0.01,88,0,37-38-46,80-57-45,,,,,,,Fundamental Broadcasting Network
WBKQ-FM,,96.7,ALEXANDRIA,IN,USA,COUNTRY,BLAKE FM,68150,2.5,2.5,107,107,40-10-38,85-40-23,,,5.86E+03,BLAKE FM,,Country,
W244BD,WAYF-HD2,96.7,STUART,FL,USA,CONTEMPORARY CHRISTIAN,VIDA UNIDA,85974,0.8,0,42,0,27-12-53,80-15-24,Spanish,,,,,,//W212CG 90.3
WORX-FM,,96.7,MADISON,IN,USA,HOT AC,WORX 96.7 FM,17622,1.05,1.05,168,168,38-44-32,85-21-43,,HD,,,,,
WXZO,,96.7,WILLSBORO,NY,USA,CLASSIC HITS,METV FM 96.7,36422,1,1,241,241,44-24-19,73-25-55,,,93FC,MeTVFM,WXZO 96.7 MeTVFM,Oldies,
KWCL-FM,,96.7,OAK GROVE,LA,USA,ADULT CONTEMPORARY,MIX 96.7,35878,40,40,104,104,32-51-33,91-21-22,,,4A57,,,,
WCXO,,96.7,CARLYLE,IL,USA,ADULT HITS,MAX 96-7,12052,2.1,2.1,158,158,38-38-24,89-22-40,,,,,,,
WBKM,,96.7,COLUMBIA,MS,USA,CLASSIC HITS,GREATEST HITS ON THE RADIO,25817,14.5,14.5,131,131,31-16-40,90-26-56,,,6.26E+03,,-,,Westwood One - Classic Hits
WSEL-FM,,96.7,PONTOTOC,MS,USA,URBAN GOSPEL,/WSEL 1440,50287,3,0,91,0,34-15-10,88-57-36,,,,,,,
WKRX,,96.7,ROXBORO,NC,USA,COUNTRY,,57789,3,3,91,91,36-22-04,78-59-58,,,A7E1,WKRX YOUR HOMETOWN STATION Artist/Title,WKRX,Country,// WRXO-1430
K244AE,KSFI 100.3,96.7,HELPER,UT,USA,SOFT AC,FM 100,8756,0.057,0,-155,0,39-41-06,110-50-29,,,,,,,
WBDK,,96.7,ALGOMA,WI,USA,CLASSIC HITS,,48848,8,8,164,164,44-42-26,87-24-26,,,57A4,Relaxing Radio 96.7 FM WBDK,Relaxing Radio 96.7 FM WBDK,Soft,
KCMQ,,96.7,COLUMBIA,MO,USA,CLASSIC ROCK,KCMQ 96.7,74583,99.1,99.1,278,278,38-41-30,92-05-45,,,1.69E+03,AUG on 96.7 KCMQ REAL CLASSIC ROCK - 96.7 KCMQ REAL CLASSIC ROCK,AUG on 96.7 KCMQ REAL CLASSIC ROCK - 96.7 KCMQ REAL CLASSIC,Classic Rock,
KMDZ,,96.7,LAS VEGAS,NM,USA,CLASSIC HITS,MIX 96,88975,6.5,6.5,-68,-68,35-34-48,105-12-59,,,3.02E+03,CLASSIC HITS Z96,KMDZ 96.7 SDCRADIO.COM,Classic Rock,
WBZW,,96.7,UNION CITY,GA,USA,REGIONAL MEXICAN,96.7 EL PATRON,61142,2.1,2.1,173,173,33-29-24,84-34-07,Spanish,HD,19EC,,,,
KUNA-FM,,96.7,LA QUINTA,CA,USA,REGIONAL MEXICAN,LA PODEROSA ES LA MEJOR,52182,0.97,0.97,177,177,33-48-08,116-13-30,Spanish,,,,,,
KTCK-FM,,96.7,FLOWER MOUND,TX,USA,SPORTS,"SPORTS RADIO 1310 & 96.7, THE TICKET",26468,90,90,621,621,33-26-13,97-29-05,,Mono,426A,All sports all the time KTCK The Ticket -,All Sports all the time - KTCK The Ticket -,Sports,//KTCK 1310
KOYE,,96.7,FRANKSTON,TX,USA,REGIONAL MEXICAN,LA INVASORA 92.3 & 96.7,70387,50,50,150,150,32-02-22,95-24-39,Spanish,,376C,,,,//KTLH 107.9
KCRF-FM,,96.7,LINCOLN CITY,OR,USA,,,50003,19.5,19.5,266,266,44-45-22,124-02-57,,,8E7F,,,,
KWMX-FM2,KWMX 96.7,96.7,SEDONA,AZ,USA,CLASSIC ROCK,96.7 THE WOLF,124929,0.099,0.099,0,0,34-51-11,111-47-01,,,,,,,
WWZW,,96.7,BUENA VISTA,VA,USA,CLASSIC HITS,CLASSIC 96.7 3WZ,19672,2,2,346,346,37-43-38,79-18-23,,,9.16E+03,,,,
KUTN,,96.7,LEVAN,UT,USA,CLASSIC HITS,FLASHBACK 96.7,89181,7,0,-181,0,39-39-27,111-50-52,,,,,,,
WFML,,96.7,VINCENNES,IN,USA,ROCK,96.7 THE ROCK,66637,2.15,2.15,117.7,117.7,38-39-06,87-28-37,,,,,,,
KNMB,,96.7,CAPITAN,NM,USA,HOT AC,THE MIX 96.7,87766,4,4,909,909,33-24-16,105-46-54,,,,,,,
WKGL-FM,,96.7,LOVES PARK,IL,USA,CLASSIC ROCK,96.7 THE EAGLE,38638,2.2,2.2,168,168,42-21-48,89-08-06,,,6FB7,96.7 THE EAGLE RKFD'S HOME FOR CLASSIC ROCK,Title & Artist on 96.7 THE EAGLE,Classic Rock,
KHIX,,96.7,CARLIN,NV,USA,CONTEMPORARY HIT RADIO,MIX 96.7,84839,12.6,12.6,487,487,40-55-18,115-51-01,,,2.36E+03,Mix96.7,-,,
WOVO,,96.7,AUBURN,KY,USA,COUNTRY,BIGFOOT COUNTRY LEGENDS,71244,45,45,129,129,36-50-35,86-15-30,,,597F,,-,,// WBVA-FM 102.3
K244CE,KSOS 90.5,96.7,PAHRUMP,NV,USA,CONTEMPORARY CHRISTIAN,SOS RADIO FOR LIFE,54320,0.17,0.17,-99.6,-99.6,36-12-14,115-57-16,,,,,,,
KZIN-FM,,96.7,SHELBY,MT,USA,COUNTRY,K-96 WIDE OPEN COUNTRY,68295,100,100,168,168,48-19-42,0112-02-03,,,,,,,
WUFN,,96.7,ALBION,MI,USA,CONTEMPORARY CHRISTIAN,FAMILY LIFE RADIO,20630,3.2,3.2,139,139,42-15-56,84-38-43,,,8A07,,,,
KSYV,,96.7,SOLVANG,CA,USA,NEWS/TALK,KCLU RADIO,51185,0.42,0.42,371,371,34-41-28,120-16-02,,,,,,,
KCRM-LP,,96.7,MARSHALLTOWN,IA,USA,RELIGIOUS TEACHING,RELEVANT RADIO,133311,0.1,0.1,26.7,26.7,42-00-21,92-53-39,,,,,,,
KKEX,,96.7,PRESTON,ID,USA,COUNTRY,KIX 96,63834,100,100,66,66,41-52-18,111-48-31,,,2AE7,KKEX96.7,-,,
KWRA-LP,,96.7,WACO,TX,USA,RELIGIOUS TEACHING,,135565,0.08,0.08,34,0,31-33-04,97-11-24,,,,,,,
WIKC,,96.7,VIRDEN,IL,USA,CONTEMPORARY CHRISTIAN,K-LOVE,70275,6,6,100,100,39-38-02,89-48-50,,,5C24,,,Adult Hits,
KLJR-FM,,96.7,SANTA PAULA,CA,USA,ADULT HITS,LA MEJOR,35925,0.28,0.28,457,457,34-19-33,0119-02-18,Spanish,,,,,,
WKJX,,96.7,ELIZABETH CITY,NC,USA,HOT AC,96.7 THE COAST,49156,50,50,124,124,36-12-10,75-52-23,,HD,A711,96.7 The Coast,96.7 The Coast,Adult Hits,
KRAM-LP,,96.7,MONTEVIDEO,MN,USA,VARIETY,,126323,0.1,0.1,17,0,44-57-22,95-44-53,,,,,,,
WYSX,,96.7,MORRISTOWN,NY,USA,CONTEMPORARY HIT RADIO,CONTINUOUS HITS YES FM,49708,17,17,108,108,44-34-43,75-30-51,,,,,,,
K244DH,KKUT 93.7,96.7,SARATOGA SPRINGS,UT,USA,COUNTRY,93.7 THE WOLF,21617,0.25,0.25,0,0,40-16-50,111-56-09,,,,,,,
KKCQ-FM,,96.7,BAGLEY,MN,USA,COUNTRY,Q COUNTRY,50324,25,25,170,170,47-36-22,95-25-31,,,2AAC,,,,
KLXQ-FM,,96.7,HOT SPRINGS,AR,USA,CLASSIC ROCK,THE ROCKET,33874,0.94,0.94,246,246,34-24-13,93-07-14,,,,,,,
W244BM,WFSU-FM 88.9,96.7,APALACHICOLA,FL,USA,NEWS/TALK,THE PUBLIC RADIO CENTER,4294,0.25,0.25,86.7,0,29-43-57,84-53-24,,,,,,,
KKEX-FM1,KKEX 96.7,96.7,TREMONTON,UT,USA,COUNTRY,KIX 96,123317,11.5,11.5,0,0,41-44-54,112-13-37,,,,,,,
WLTY,,96.7,CAYCE,SC,USA,ADULT HITS,STEVE FM,4667,9,9,132,132,34-00-18,81-00-44,,HD,13BA,Artist/Title -Steve FM,Artist/Title -Steve FM,Top 40,13BA - 'KBKS'
K244DV,KXSR 91.7,96.7,MERCED,CA,USA,CLASSICAL/JAZZ,THE CLASSICAL STATION,141049,0.01,0.01,149.7,0,37-25-35,120-26-25,,,,,,,
KALZ,KRZR 1400,96.7,FOWLER,CA,USA,TALK,POWER TALK 96.7,2097,25,25,100,100,36-41-42,119-43-59,,HD,,,,,
WRGZ,,96.7,ROGERS CITY,MI,USA,CLASSIC ROCK,KLT THE ROCK STATION,49304,42,42,162,162,45-21-02,83-46-59,,,8.24E+03,WKLT 97.5 & WBCM 93.5 & WRGZ 96.7,WKLT 97.5 & WBCM 93.5 & WRGZ 96.7,Rock,//WKLT 97.5 & WBCM 93.5
WGOV-FM,,96.7,VALDOSTA,GA,USA,URBAN CONTEMPORARY,POWER 96.7 FM,9684,50,50,100,100,30-48-13,83-21-20,,,,,,,
WKXK,WKXN 95.7,96.7,PINE HILL,AL,USA,URBAN CONTEMPORARY,THE BIG KD!,76747,41,41,163,163,32-04-24,87-35-27,,,7.17E+03,,-,,// WXKD-920 & WZKD-950
WGBL-FM,,96.7,GULFPORT,MS,USA,CLASSIC HIP-HOP,G96.7,61305,4.3,4.3,119,119,30-27-31,89-04-46,,,64A5,"The New ""G"" 96.7",The throwback Station,Rhythm and Blues,
KMMG,,96.7,BENTON CITY,WA,USA,SPANISH HITS,LA ZETA,4758,0.82,0.82,271,271,46-14-04,119-19-13,Spanish,,,,,,
WANV,,96.7,ANNVILLE,KY,USA,CLASSIC HITS,CLASSIC HITS 96.7,162367,1.85,1.85,152,152,37-13-24,84-02-01,,,560F,WANV-FM,-,Oldies,
WCEI-FM,,96.7,EASTON,MD,USA,ADULT CONTEMPORARY,96.7 WCEI,11668,12.5,12.5,141,141,38-57-22,76-05-36,,,5A60,WCEI Today's Hits & Yesterday's Favorites,WCEI-HD Today's Hits & Yesterday's Favorites,Adult Hits,
KISN,,96.7,BELGRADE,MT,USA,CONTEMPORARY HIT RADIO,KISS FM 96.7 TODAY'S HOTTEST MUSIC,24172,4.1,4.1,131,131,45-38-20,111-15-55,,,2.70E+03,,,Top 40,
WBQA,,96.7,BOOTHBAY HARBOR,ME,USA,CLASSICAL,MAINE PUBLIC CLASSICAL,4090,15.5,15.5,127,127,44-01-31,69-34-17,,,58EC,WBQA,Maine Public Classical,Classical,
W244DV,WDLR-1270,96.7,MARYSVILLE,OH,USA,CLASSIC HITS,MY 96.7,141717,0.1,0.1,0,0,40-15-42,83-16-24,,,,,,,
KNDH,KVOQ 102.3,96.7,CARBONDALE,CO,USA,ADULT ALTERNATIVE,INDIE 102.3,162283,0.09,0.09,764.3,764.3,39-25-08,107-22-10,,HD,4.60E+10,Title & Artist on KUUR,"YOU'RE TUNED TO KUUR, 96.7 AND 101.1 IN ASPEN",Rock,
W244CD,KAWZ 89.9,96.7,BROWNS SUMMIT,NC,USA,RELIGIOUS TEACHING,CSN INTERNATIONAL,88246,0,0.01,0,148.2,36-09-10,79-45-08,,,,,,,
